A	archive file	ar (Unix)
DICOM	Digital Imaging and Communications in Medicine (DICOM) bitmap	DICOM Software (XnView)
DIF	Borland patch data file	Borland patch
DIF	Data Interchange Format	Visicalc
DIF	OS/2 V2.2 Display Information File	OS/2
DIF	Output from Diff command - script for Patch command	
DIF	SRCCOM, BINCOM output file	RT-11
DIG	Digilink	AWAVE
DIG	Sound Designer 1 audio file	AWAVE
DIP	Graphics	
DIP	Watcom debug info processor	WatcomDebugger
DIP	PCB Drawing file	DipTrace PCB Layout
DIR	Dialing directory file	Procomm Plus
DIR	Directory file	VAX - CPS Backup
DIR	Movie	MacroMind Director 4.x
DIR	Directory listing file	RT-11
DIRED	Directory listing (ls format)	Dired
DIS	Distribution file	VAX Mail
DIS	Thesaurus	CorelDraw
DIZ	Description file (Description In Zip)	
DJVU	DJVU Document Format, a format similar to PDF but with higher compression rates at the same quality.	DJVU
DKB	Raytraced graphics	DKBTrace
DL	Animation format (Italian origin)	Display - DL Viewer
DLC	JDownloader Link Container	JDownloader
DLD		Lotus 1-2-3
DLF	Dialogue Live Format	Produced by Exstream Dialogue and edited by Dialogue Live Editor
DLG	Dialog resource script file	Microsoft Windows SDK
DLG	Dialog resources	DN
DLG	Windows SDK dialog editor data file	
DLG	Windows SDK dialog editor data file	
DLL	Dynamic-link library	Windows 3.x - OS/2
DLL	Export/import filter	CorelDRAW
DLM	Microsoft File Transfer Manager	Microsoft File Transfer Manager
DLP	Data	DAQLab
DLS	Setup	Norton Disklock
DMF	Music format (Delusion Digital Music File)	Delusion
DMF	DeleD files	
DMG	Apple Disk Image	Mac OS X (Disk Utility),
DMO	Demo	Derive
DMP	Dump file (e.g. screen or memory)	
DMP	DUMP utility output file	RT-11
DN	Dimension model format	Adobe Dimension [50]
DNG[51]	Digital Negative, a-publicly available archival format for the raw files generated by digital cameras	At least 30 camera models from at least 10 manufacturers, and at least 200 software products
DOC[52][53][54][52]	A Document, or an ASCII text file with text formatting codes in with the text; used by many word processors	Microsoft Word and others
DOCM	Microsoft Word Macro-Enabled Document	Microsoft Word
DOCX	Microsoft Word Document	Microsoft Word[55]
DOCHTML	Microsoft Word HTML Document	Microsoft Word
DOCMHTML	Microsoft Word MIME HTML Document	Microsoft Word
DOT	Microsoft Word 97 - 2003 Template	Microsoft Word
DOTM	Microsoft Word Macro-Enabled Template	Microsoft Word
DOTX	Microsoft Word Template	Microsoft Word
DOTHTML	Microsoft Word HTML Template	Microsoft Word
DOF	Delphi project options file	Borland Delphi
DOG	Screen file	Laughing Dog Screen Maker
DOH	Dependency information for .poh	Geoworks
DOL	Nintendo Wii and GameCube proprietary executable format	Nintendo Wii and GameCube games and software
DOR	Roland Digital audio file	Roland
DOT	Microsoft Word document template	Microsoft Word
DOTX	Office Open XML Text document template	Microsoft Word
DPF	Debrief Plot File	Debrief
DPX[56][57]	Digital Moving Picture Exchange	
DRU	Design Rules	EAGLE
DS	Data file used by Adobe Dimension	
DSC[58]	Celestia Deep Space Catalog file	Celestia
DTD[59]	Document Type Definition	
DW2	Drawing	DesignCAD for DOS, & DesignCAD for Windows
DWF	Autodesk Design Web Format	Design Review
DWG[60]	Drawing	AutoCAD, IntelliCAD, PowerCAD, Drafix, DraftSight etc.
DXF[61]	Drawing Interchange File Format vector graphics	AutoCAD, IntelliCAD, PowerCAD, etc.
DXP	SpotFire data	TIBCO Spotfire

E	E language source code	E
E##	EnCase Evidence File chunk	EnCase Forensic Analysis Suite entity
E00	ArcInfo interchange file	GIS software
E2D	2-dimensional vector graphics file	Editor included in JFire
e57	A file format developed by ASTM International for storing point clouds and images	Most software that enables viewing and/or editing of 3D point clouds
EBD	versions of DOS system files (AUTOEXEC.BAT, COMMAND.COM, CONFIG.SYS, WINBOOT.SYS, etc. ) for an emergency boot disk	Windows 98, ME
EC	Source code	eC
ECC	Error-checking file	dvdisaster
EDE	Ensoniq EPS disk image	AWAVE
EDF	European data format	Medical timeseries storage files
EFI	Extensible Firmware Interface	
EIS	EIS Spectrum Analyser Project	EIS Spectrum Analyser
EL	Emacs Lisp source code file	Emacs
ELC	Byte-compiled Emacs Lisp code	Emacs
EMAIL	Outlook Express Email Message	Windows Live Mail, Outlook Express, Microsoft Notepad
EMAKER	E language source code (maker)	E
EMF	Microsoft Enhanced Metafile	
EML	Stationery Template	Outlook Express
EMZ	Microsoft Enhanced Metafile compressed with ZIP	Microsoft Office suite	
EOT	Embedded OpenType	
EP	GUI wireframe/prototype project	Prikhi Pencil, Evolus Pencil
EPA	Award BIOS splash screen	Award BIOS, XnView
EPS	Encapsulated PostScript	CorelDraw - PhotoStyler - PMView - Adobe Illustrator - Ventua Publisher
EPUB	Electronic Publication - (e-Reader format)	Okular (Linux) - Apple iBooks - Sony Reader - Adobe Digital Editions - Calibre (LMW)
ERL	Erlang source code file	
ES6	ECMAScript 6 file	
ESCPCB	Data file of "esCAD pcb", PCB Pattern Layout Design Software	esCAD pcb provided by Electro-System
ESCSCH	Data file of "esCAD sch", Drawing Schematics Diagram Software	esCAD sch provided by Electro-System
ESD	Windows Imaging Format	ImageX, DISM, 7-Zip, wimlib
ETL	event trace log file	Microsoft[62][63]
EVT	Windows Event log file	Microsoft Windows NT 4.0 - XP; Microsoft Event Viewer
EVTX	Windows Event log file XML structured	Microsoft Windows Vista, 7, 8; Microsoft Event Viewer
EX	Elixir source code file	Elixir programming language running on BEAM (Erlang virtual machine)[64]
EXE	Directly executable program	DOS, OpenVMS, Microsoft Windows, Symbian or OS/2
EXP	Drawing File format	Drawing Express
EXP	Melco Embroidery Format	Embroidermodder
EXS	Elixir script file	Interactive Elixir (IEx) shell[65]
EZW	easyOFFER document file[66]	easyOFFER by Reagency Systems Corp.

F	Archive	FREEZE
F	Forth language source code file	Forth development systems
F	Fortran language source code file (in fixed form)	Many Fortran compilers
F01	Fax	perfectfax
F03	Fortran language source code file (in free form)	Many Fortran compilers
F08	Fortran language source code file (in free form)	Fortran compilers
F18	Fortran language source code file (in free form)	Fortran compilers
F4	Fortran IV source code file	Fortran IV source code
F4V[1]	A container format for Flash Video that differs from the older FLV file format (see also SWF)	Adobe Flash
F77	Fortran language source code file (in fixed form)	Many Fortran compilers
F90	Fortran language source code file (in free form)	Many Fortran compilers
F95	Fortran language source code file (in free form)	Many Fortran compilers
FA[2][3][4]	FASTA format sequence file	
FAA[2][3][4]	FASTA format amino acid	
FASTA[2][3][4]	FASTA format sequence file	
FASTQ[2][3][4]	FASTQ format sequence file	
FB2[5]	FictionBook e-book 2.0 file (DRM-free XML format)	e-book readers
FBX [6]	3D model geometry, material textures, lighting, armature, and animation sequences for inter application use/transport	Autodesk
FEN[7]	Forsyth–Edwards Notation	Chess applications -text data describes a specific position.
FFN[3][4][2]	FASTA format nucleotide of gene regions	
FITS.[8][9]	Flexible Image Transport System	astronomy software
FLAC[10]	Audio codec, Audio file format	
FLAME	Fractal configuration file	Apophysis
FLV[11]	A container format for Flash Video (see also SWF)	Adobe Flash
FNA[2][3][4]	FASTA format nucleic acid	
FNI	FileNet Native Document	FileNet
FODT[12]	OpenDocument Flat XML Document	LibreOffice
FOR	Fortran language source file	many
FRM[13]	MySQL Database Metadata	MySQL
FS	F# source file	F# compilers

GBR[14]	Gerber format	PCB CAD/CAM
GDF[15]	General Data Format for Biomedical Signals	Biomedical signal processing, Brain Computer Interfaces
GDT	Gerätedatentransfer, an xDT application	Healthcare providers in Germany
GED[16]	GEDCOM	Genealogy data exchange
GGB	GeoGebra File	GeoGebra
GIF[17]	Compuserves' Graphics Interchange Format (bitmapped graphics)	QPeg - Display - CompuShow
GML[18]	Geography Markup Language File	Geography Markup Language
GO	Go source code file	Golang
GPX[19][20]	GPS eXchange Format	
GTF[21]	Gene transfer format	
GV[22]	Graph Visualization	Graphviz

H!	On-line help file	Flambeaux Help! Display Engine
H!	Pertext database	HELP.EXE
H--	C—language header	Sphinx C--
H	Header file (usually C language)	Watcom C/C++
H++	Header file	C++
HA	Archive	HA
HACK	Source file for the programming language hack	The HHVM[23]
HAR[24]	HTTP Archive format (JSON-format web-browser log)	W3C draft standard
HDMP	heap dumpfile	
HH	C++ header file	
HOF	Basic Configuration file	OMSI The Bus Simulator
HPP	C++ header file	Zortech C++ - Watcom C/C++
HTA	HTML Application	Microsoft Windows
HTM	see HTML	
HTML[25]	Hypertext Markup Language (WWW)	Netscape - Mosaic - many
